vertex_string_list,wpts_y_unreal,wpts_x_unreal,wpts_z_unreal
vert403,-2333.80067566639,3273.11666872814,10
vert404,-2360.3795929258,3255.63716965583,10
vert405,-2386.73801060275,3235.65584293267,10
vert406,-2412.869417551,3213.36004815288,10
vert407,-2438.76595749954,3188.96728045101,10
vert408,-2464.41853927959,3162.72040780647,10
vert409,-2489.81694705172,3134.88290837702,10
vert410,-2514.94995053308,3105.73410786124,10
vert411,-2539.80541522466,3075.56441689001,10
vert412,-2564.37041263875,3044.67056844689,10
vert413,-2588.63133052648,3013.35085531761,10
vert414,-2612.57398310541,2981.90036756841,10
vert415,-2636.18372128727,2950.60623005348,10
vert416,-2659.44554290581,2919.74283995126,10
vert417,-2682.34420294473,2889.56710432981,10
vert418,-2704.86432376574,2860.31367774114,10
vert419,-2726.99050533668,2832.1901998445,10
vert420,-2748.70743545977,2805.37253305867,10
vert421,-2770.00000000003,2780.00000035526,10
vert422,-2790.85339650261,2756.17069569942,10
vert423,-2811.25333011537,2733.93870724145,10
vert424,-2831.18641637147,2713.31619655286,10
vert425,-2850.6406669503,2694.27739056298,10
vert426,-2869.60597888029,2676.76264662468,10
vert427,-2888.07462372566,2660.68251759008,10
vert428,-2906.04173675739,2645.92181689622,10
vert429,-2923.5058061082,2632.34368366059,10
vert430,-2940.46916191169,2619.7936477867,10
vert431,-2956.93846542548,2608.10369507954,10
vert432,-2972.92519813852,2597.09633237099,10
vert433,-2988.44615086248,2586.58865265522,10
vert434,-3003.52391280715,2576.39640023396,10
vert435,-3018.18736064007,2566.33803587179,10
vert436,-3032.4721475301,2556.23880196132,10
vert437,-3046.42119217521,2545.93478769834,10
vert438,-3060.08516781425,2535.27699426693,10
vert439,-3073.5229912229,2524.13540003448,10
vert440,-3086.80231169367,2512.40302575666,10
vert441,-3099.99999999996,2499.99999969678,10
vert442,-3113.20261635436,2486.87756033243,10
vert443,-3126.50632928684,2473.02042525587,10
vert444,-3140.01543881469,2458.44501755935,10
vert445,-3153.84035011909,2443.19605921662,10
vert446,-3168.09552618886,2427.34310169254,10
vert447,-3182.89744046414,2410.97705655255,10
vert448,-3198.36252947987,2394.20672607214,10
vert449,-3214.60514550927,2377.15533384607,10
vert450,-3231.73550920708,2359.95705539757,10
vert451,-3249.85766225274,2342.75354878736,10
vert452,-3269.06741999347,2325.69048522257,10
vert453,-3289.45032408712,2308.9140796656,10
vert454,-3311.07959514507,2292.56762144279,10
vert455,-3334.01408537483,2276.78800485297,10
vert456,-3358.29623122266,2261.70225977599,10
vert457,-3383.95000601597,2247.424082281,10
vert458,-3410.97887260569,2234.05036523472,10
vert459,-3439.36373600841,2221.65772890956,10
vert460,-3469.06089604849,2210.29905159159,10
vert461,-3500.00000000004,2200.00000028127,10
vert462,-3532.08204266149,2190.75561817507,10
vert463,-3565.17859966348,2182.52839499194,10
vert464,-3599.1341912782,2175.25009572064,10
vert465,-3633.7698794576,2168.82507233986,10
vert466,-3668.88691230409,2163.13363274079,10
vert467,-3704.27036854111,2158.03540963986,10
vert468,-3739.69280198381,2153.3727294816,10
vert469,-3774.91788600976,2148.97398133156,10
vert470,-3809.70405802958,2144.65698575938,10
vert471,-3843.8081639577,2140.23236371203,10
vert472,-3876.98910268303,2135.50690537702,10
vert473,-3909.01147053974,2130.28693903591,10
vert474,-3939.64920577797,2124.38169990774,10
vert475,-3968.68923303463,2117.60669898277,10
vert476,-3995.93510780416,2109.78709184618,10
vert477,-4021.21066090936,2100.76104749196,10
vert478,-4044.36364297214,2090.38311712691,10
vert479,-4065.26936888441,2078.52760296472,10
vert480,-4083.83436227891,2065.09192701023,10
vert481,-4100.00000000001,2049.99999976026,10
vert482,-4113.74609635436,2033.20553892247,10
vert483,-4125.09292168646,2014.69407989014,10
vert484,-4134.09924656862,1994.48166846347,10
vert485,-4140.85882030928,1972.61224564486,10
vert486,-4145.49678924052,1949.15498216151,10
vert487,-4148.16611500585,1924.20161298731,10
vert488,-4149.04399284813,1897.86377186379,10
vert489,-4148.32826989775,1870.27032582038,10
vert490,-4146.23386346102,1841.56470969367,10
vert491,-4142.98917930876,1811.90226064605,10
vert492,-4138.83252996514,1781.4475526833,10
vert493,-4134.00855299669,1750.37173117155,10
vert494,-4128.76462930155,1718.84984735329,10
vert495,-4123.34730139894,1687.05819286261,10
vert496,-4117.9986917188,1655.17163423957,10
vert497,-4112.95292089173,1623.36094744378,10
vert498,-4108.43252603906,1591.79015236717,10
vert499,-4104.64487906317,1560.61384734585,10
vert500,-4101.77860493805,1529.97454367124,10
vert501,-4100.00000000004,1500.00000012717,10
vert502,-4099.44949430569,1470.8005876295,10
vert503,-4100.23925978854,1442.46744278307,10
vert504,-4102.45372701391,1415.07262388701,10
vert505,-4106.15124773975,1388.67005530488,10
vert506,-4111.36580154507,1363.29650201411,10
vert507,-4118.1087024584,1338.97254416669,10
vert508,-4126.37030558629,1315.70355166122,10
vert509,-4136.12171374173,1293.48065872629,10
vert510,-4147.31648407263,1272.28173851517,10
vert511,-4159.89233469022,1252.07237771186,10
vert512,-4173.77285129752,1232.80685114841,10
vert513,-4188.86919381773,1214.4290964336,10
vert514,-4205.0818030227,1196.87368859299,10
vert515,-4222.30210716131,1180.06681472019,10
vert516,-4240.41422858786,1163.92724863955,10
vert517,-4259.29669039053,1148.36732558015,10
vert518,-4278.82412301971,1133.2939168611,10
vert519,-4298.86897091643,1118.60940458816,10
vert520,-4319.30319914072,1104.21265636175,10
vert521,-4339.99999999999,1090.00000001925,10
vert522,-4360.83548805636,1075.86619700277,10
vert523,-4381.69009290529,1061.7053856042,10
vert524,-4402.44918471966,1047.41194851641,10
vert525,-4423.00339756437,1032.88135055272,10
vert526,-4443.24894108985,1018.01097511291,10
vert527,-4463.08791222549,1002.70096064765,10
vert528,-4482.42860687306,986.85503712146,10
vert529,-4501.18583160008,970.381362474074,10
vert530,-4519.28121533313,953.193359080325,10
vert531,-4536.64352105118,935.210550208471,10
vert532,-4553.20895747881,916.359396476998,10
vert533,-4568.92149077945,896.57413230989,10
vert534,-4583.73315624854,875.797602390366,10
vert535,-4597.60437000667,853.98209811309,10
vert536,-4610.50424069267,831.090194034844,10
vert537,-4622.4108811567,807.095584323673,10
vert538,-4633.31172015323,781.9839192065,10
vert539,-4643.20381403406,755.753641415203,10
vert540,-4652.09415844124,728.41682263117,10
vert541,-4659.99999999996,699.999999879673,10
vert542,-4666.94913490337,670.544982756844,10
vert543,-4672.97986664471,640.109088520562,10
vert544,-4678.1400984856,608.763996566252,10
vert545,-4682.4860850674,576.594010116599,10
vert546,-4686.08117091408,543.694286951574,10
vert547,-4688.99452893507,510.169070675139,10
vert548,-4691.29989892826,476.129922518648,10
vert549,-4693.07432608287,441.693953680937,10
vert550,-4694.39689948252,406.982058205113,10
vert551,-4695.34749060822,372.11714639202,10
vert552,-4696.00549184144,337.222378750411,10
vert553,-4696.44855496722,302.4194004838,10
vert554,-4696.75132967729,267.826576514014,10
vert555,-4696.98420207326,233.557227041428,10
vert556,-4697.21203316979,199.717863641896,10
vert557,-4697.49289739786,166.406425900378,10
vert558,-4697.87682110803,133.710518581244,10
vert559,-4698.40452107373,101.705649335285,10
